73.33;43.86
59.72;61.12
42.15;74.33
21.8;82.62
0;85.45
-21.8;82.62
-42.15;74.33
-59.72;61.12
-73.33;43.86
90;38.6
77.11;60.36
59.08;78.1
37.1;90.63
12.65;97.11
-12.65;97.11
-37.1;90.63
-59.08;78.1
-77.11;60.36
-90;38.6
95;56.14
77.43;78.62
54.69;95.84
28.29;106.66
0;110.35
-28.29;106.66
-54.69;95.84
-77.43;78.62
-95;56.14
113.33;49.12
97.04;76.43
74.3;98.67
46.65;114.37
15.9;122.49
-15.9;122.49
-46.65;114.37
-74.3;98.67
-97.04;76.43
-113.33;49.12
116.67;70.18
67.01;118.51
0;136.15
-67.01;118.51
-116.67;70.18
135;64.91
121.84;87.15
105.05;106.79
85.13;123.25
62.69;136.05
38.37;144.8
12.92;149.24
-12.92;149.24
-38.37;144.8
-62.69;136.05
-85.13;123.25
-105.05;106.79
-121.84;87.15
-135;64.91
150;56.14
138.08;81.16
122.02;103.74
102.31;123.22
79.54;139.01
54.39;150.64
27.61;157.76
0;160.16
-27.61;157.76
-54.39;150.64
-79.54;139.01
-102.31;123.22
-122.02;103.74
-138.08;81.16
-150;56.14
156.67;73.68
141.54;99.7
122.14;122.7
99.05;142
72.97;157
44.68;167.26
15.05;172.47
-15.05;172.47
-44.68;167.26
-72.97;157
-99.05;142
-122.14;122.7
-141.54;99.7
-156.67;73.68
171.67;63.16
158.14;91.93
139.83;117.92
117.3;140.36
91.22;158.55
62.39;171.95
31.67;180.15
0;182.92
-31.67;180.15
-62.39;171.95
-91.22;158.55
-117.3;140.36
-139.83;117.92
-158.14;91.93
-171.67;63.16
176.67;84.21
159.51;113.4
137.57;139.2
111.52;160.83
82.13;177.64
50.28;189.14
16.93;194.98
-16.93;194.98
-50.28;189.14
-82.13;177.64
-111.52;160.83
-137.57;139.2
-159.51;113.4
-176.67;84.21
193.33;71.93
178.01;104.23
157.34;133.4
131.95;158.56
102.59;178.96
70.16;193.98
35.61;203.18
0;206.28
-35.61;203.18
-70.16;193.98
-102.59;178.96
-131.95;158.56
-157.34;133.4
-178.01;104.23
-193.33;71.93
195;122.81
180.04;143.85
162.82;163.08
143.56;180.27
122.49;195.2
99.89;207.67
76.04;217.54
51.23;224.68
25.78;229
0;230.45
-25.78;229
-51.23;224.68
-76.04;217.54
-99.89;207.67
-122.49;195.2
-143.56;180.27
-162.82;163.08
-180.04;143.85
-195;122.81
215;117.54
